4. 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1. 지역별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,서울,인천,구분,대전,광주,대구,세종,울산,부산,RPS의무이행비용정산금,배출권거래비용정산금,예측제도정산금,전국,[단위 : 억원],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,Seoul,Incheon,,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Renewable Portfolio Standard Payment,Emission Trading Settlement Payment,Power Demand Forecasting Payment,Total,[Unit : 100 Million Won],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017," 65,119 "," 18,188 "," 45,273 "," 50,864 "," 45,803 "," 7,918 "," 109,523 "," 1,057 "," 4,787 ", 779 ," 54,361 ",2017, 278 , 457 ," 2,914 "," 2,972 "," 16,970 "," 20,451 ",,,," 447,712 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018," 85,836 "," 28,380 "," 45,870 "," 51,851 "," 43,948 "," 10,875 "," 108,093 "," 1,467 "," 6,237 "," 1,186 "," 59,303 ",2018, 339 , 519 ," 3,078 "," 4,026 "," 25,192 "," 30,828 ",,,," 507,027 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019," 86,873 "," 26,384 "," 43,576 "," 49,336 "," 40,887 "," 10,374 "," 111,501 "," 1,255 "," 7,893 "," 2,746 "," 58,457 ",2019, 316 , 525 ," 3,166 "," 2,756 "," 26,011 "," 27,662 ",,,," 499,718 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020," 67,014 "," 21,461 "," 27,514 "," 48,876 "," 35,952 "," 7,863 "," 89,572 "," 1,277 "," 6,686 "," 4,007 "," 49,101 ",2020, 220 , 434 ," 2,313 "," 2,937 "," 23,112 "," 26,256 "," 20,031 "," 1,301 ", - ," 435,925 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021," 95,156 "," 29,432 "," 42,484 "," 44,040 "," 41,287 "," 11,244 "," 104,380 "," 1,422 "," 9,013 "," 5,396 "," 64,459 ",2021, 260 , 554 ," 3,113 "," 3,900 "," 26,244 "," 27,843 "," 34,982 "," 5,518 ", 2 ," 550,727 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022," 195,128 "," 52,443 "," 74,263 "," 51,637 "," 57,469 "," 21,302 "," 167,364 "," 3,514 "," 15,567 "," 8,343 "," 107,934 ",2022, 626 ," 1,219 "," 5,470 "," 6,139 "," 36,452 "," 39,475 "," 37,575 "," 3,409 ", 64 ," 885,394 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023," 175,419 "," 52,693 "," 62,059 "," 55,335 "," 54,089 "," 17,954 "," 143,262 "," 3,337 "," 13,828 "," 8,397 "," 87,116 ",2023, 532 ," 1,161 "," 4,063 "," 6,563 "," 29,316 "," 31,445 "," 29,408 "," 3,880 ", 158 ," 780,015 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023.1," 22,790 "," 6,073 "," 7,202 "," 3,610 "," 4,750 "," 1,767 "," 15,163 ", 259 ," 1,642 ", 966 ," 10,424 ",2023.1, 132 , 203 , 563 , 604 ," 3,152 "," 3,451 "," 2,329 ", - , 8 ," 85,090 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2," 19,469 "," 5,227 "," 5,148 "," 3,010 "," 3,690 "," 1,451 "," 13,903 ", 245 ," 1,412 ", 926 ," 10,755 ",2, 105 , 174 , 579 , 832 ," 3,327 "," 3,288 "," 1,237 ", - , 10 ," 74,787 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3," 20,654 "," 5,785 "," 4,903 "," 4,249 "," 6,146 "," 2,285 "," 12,459 ", 337 ," 1,315 ", 595 ," 7,990 ",3, 58 , 135 , 600 , 791 ," 3,301 "," 3,121 ", 538 , - , 14 ," 75,277 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4," 11,949 "," 4,905 "," 4,315 "," 3,269 "," 4,223 "," 1,630 "," 10,150 ", 232 ," 1,056 ", 393 ," 5,536 ",4, 25 , 79 , 29 , 427 ," 1,961 "," 1,617 "," 6,092 ", - , 13 ," 57,901 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5," 11,016 "," 4,516 "," 5,147 "," 3,375 "," 3,874 "," 1,110 "," 9,739 ", 237 , 979 , 539 ," 5,006 ",5, 22 , 64 , 57 , 543 ," 1,705 "," 1,483 ", 953 ," 3,880 ", 15 ," 54,259 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6," 10,968 "," 4,167 "," 5,608 "," 3,679 "," 3,824 "," 1,215 "," 11,843 ", 274 , 978 , 789 ," 6,831 ",6, 21 , 62 , 330 , 486 ," 1,743 "," 1,424 "," 1,193 ", - , 16 ," 55,451 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7," 14,076 "," 4,242 "," 6,495 "," 6,349 "," 5,298 "," 1,658 "," 14,768 ", 495 ," 1,299 ", 898 ," 8,701 ",7, 23 , 64 , 327 , 586 ," 2,400 "," 2,392 "," 6,288 ", - , 11 ," 76,370 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8," 14,489 "," 4,759 "," 6,420 "," 5,620 "," 5,382 "," 1,632 "," 15,550 ", 344 ," 1,342 ", 858 ," 8,779 ",8, 25 , 63 , 272 , 503 ," 2,707 "," 2,667 "," 2,486 ", - , 18 ," 73,917 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9," 12,431 "," 4,005 "," 4,677 "," 4,816 "," 4,824 "," 1,428 "," 11,744 ", 383 ," 1,043 ", 729 ," 5,731 ",9, 20 , 57 , 253 , 502 ," 2,351 "," 2,617 "," 1,084 ", - , 14 ," 58,709 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10," 11,105 "," 2,836 "," 3,382 "," 4,746 "," 3,300 "," 1,393 "," 8,596 ", 241 , 975 , 417 ," 5,950 ",10, 11 , 58 , 383 , 435 ," 2,159 "," 2,807 "," 3,055 ", - , 18 ," 51,869 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11," 12,294 "," 2,805 "," 3,733 "," 4,804 "," 3,472 "," 1,089 "," 8,656 ", 148 , 833 , 571 ," 5,076 ",11, 28 , 84 , 316 , 343 ," 1,715 "," 2,715 "," 1,740 ", - , 12 ," 50,434 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12," 14,177 "," 3,373 "," 5,030 "," 7,808 "," 5,305 "," 1,297 "," 10,691 ", 143 , 954 , 715 ," 6,337 ",12, 61 , 118 , 355 , 510 ," 2,795 "," 3,862 "," 2,413 ", - , 8 ," 65,950 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) 지역 구분은 전력시장에 등록된 발전기의 소재지 기준으로 분류함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2) 현재 기준 세종시 소재 발전기의 경우, 2012년 6월까지는 당시의 행정구역을 기준으로, 2012년 7월부터는 세종으로 분류함",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3) 22년 전력시장통계 개정에 따라 2020년 이후 지역별 전력거래금액 산정 시 RPS의무이행비용, 배출권거래비용 및 예측제도 정산금을 별도로 분류함",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-2. 회원사별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,A 회원사,,B 회원사,,C 회원사,,D 회원사,,E 회원사,,F 회원사,,기타,,합계,증감률(%),"[단위 : 억원, %]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Member A,,Member B,,Member C,,Member D,,Member E,,Member F,,Others,,,,"[Unit : 100 Million Won, %]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,비율(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),,Proportion(%),Total,Rate of Change(%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001," 32,430 ", 34.1 ," 11,181 ", 11.8 ," 10,167 ", 10.7 ," 14,654 ", 15.4 ," 12,955 ", 13.6 ," 13,730 ", 14.4 , - , - ," 95,117 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002," 45,987 ", 34.8 ," 14,391 ", 10.9 ," 15,881 ", 12.0 ," 20,000 ", 15.1 ," 17,724 ", 13.4 ," 18,351 ", 13.9 , - , - ," 132,334 ",39.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003," 50,274 ", 34.5 ," 14,462 ", 9.9 ," 17,708 ", 12.2 ," 21,114 ", 14.5 ," 20,245 ", 13.9 ," 18,564 ", 12.7 ," 3,257 ", 2.2 ," 145,623 ",10.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004," 50,364 ", 32.2 ," 16,445 ", 10.5 ," 18,853 ", 12.1 ," 20,370 ", 13.0 ," 27,130 ", 17.3 ," 20,048 ", 12.8 ," 3,211 ", 2.1 ," 156,422 ",7.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005," 55,830 ", 32.3 ," 19,977 ", 11.6 ," 22,181 ", 12.8 ," 22,023 ", 12.8 ," 28,130 ", 16.3 ," 21,151 ", 12.3 ," 3,335 ", 1.9 ," 172,626 ",10.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006," 55,172 ", 29.2 ," 19,633 ", 10.4 ," 24,690 ", 13.1 ," 24,046 ", 12.7 ," 32,857 ", 17.4 ," 25,013 ", 13.2 ," 7,714 ", 4.1 ," 189,125 ",9.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007," 55,053 ", 26.0 ," 21,402 ", 10.1 ," 27,930 ", 13.2 ," 30,880 ", 14.6 ," 37,212 ", 17.6 ," 28,615 ", 13.5 ," 10,481 ", 5.0 ," 211,572 ",11.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008," 57,956 ", 21.6 ," 30,968 ", 11.6 ," 35,926 ", 13.4 ," 36,715 ", 13.7 ," 46,298 ", 17.3 ," 38,748 ", 14.5 ," 21,388 ", 8.0 ," 267,999 ",26.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009," 51,457 ", 19.1 ," 37,188 ", 13.8 ," 37,032 ", 13.8 ," 37,949 ", 14.1 ," 46,077 ", 17.1 ," 38,165 ", 14.2 ," 21,249 ", 7.9 ," 269,118 ",0.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010," 58,700 ", 18.2 ," 40,955 ", 12.7 ," 47,642 ", 14.8 ," 47,386 ", 14.7 ," 51,639 ", 16.0 ," 44,352 ", 13.8 ," 31,568 ", 9.8 ," 322,243 ",19.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011," 65,227 ", 17.7 ," 43,083 ", 11.7 ," 49,948 ", 13.6 ," 51,864 ", 14.1 ," 58,978 ", 16.0 ," 46,976 ", 12.8 ," 51,708 ", 14.1 ," 367,784 ",14.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012," 66,920 ", 15.7 ," 45,310 ", 10.7 ," 54,117 ", 12.7 ," 59,350 ", 14.0 ," 69,362 ", 16.3 ," 58,345 ", 13.7 ," 71,993 ", 16.9 ," 425,397 ",15.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013," 62,612 ", 14.9 ," 39,937 ", 9.5 ," 56,402 ", 13.4 ," 57,307 ", 13.6 ," 71,123 ", 16.9 ," 52,641 ", 12.5 ," 81,077 ", 19.3 ," 421,099 ",- 1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014," 92,251 ", 20.8 ," 44,168 ", 10.0 ," 49,832 ", 11.2 ," 48,833 ", 11.0 ," 62,692 ", 14.1 ," 44,867 ", 10.1 ," 101,076 ", 22.8 ," 443,719 ",5.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015," 104,959 ", 25.2 ," 49,309 ", 11.8 ," 38,795 ", 9.3 ," 42,036 ", 10.1 ," 43,513 ", 10.5 ," 40,665 ", 9.8 ," 97,043 ", 23.3 ," 416,320 ",- 6.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016," 111,435 ", 26.7 ," 50,485 ", 12.1 ," 37,327 ", 8.9 ," 43,229 ", 10.4 ," 43,525 ", 10.4 ," 43,178 ", 10.4 ," 87,897 ", 21.1 ," 417,076 ",0.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017," 92,911 ", 20.8 ," 54,033 ", 12.1 ," 46,860 ", 10.5 ," 43,535 ", 9.7 ," 45,483 ", 10.2 ," 46,272 ", 10.3 ," 118,618 ", 26.5 ," 447,712 ",7.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018," 88,899 ", 17.5 ," 57,975 ", 11.4 ," 43,552 ", 8.6 ," 50,214 ", 9.9 ," 57,021 ", 11.2 ," 51,580 ", 10.2 ," 157,786 ", 31.1 ," 507,027 ",13.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019," 88,985 ", 17.8 ," 57,223 ", 11.5 ," 47,864 ", 9.6 ," 47,033 ", 9.4 ," 51,853 ", 10.4 ," 49,240 ", 9.9 ," 157,521 ", 31.5 ," 499,718 ",- 1.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020," 99,454 ",22.8 ," 42,747 ",9.8 ," 43,717 ",10.0 ," 37,058 ",8.5 ," 42,074 ",9.7 ," 42,295 ",9.7 ," 128,579 ",29.5 ," 435,925 ",- 12.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021," 95,582 ",17.4 ," 52,799 ",9.6 ," 56,132 ",10.2 ," 52,368 ",9.5 ," 59,791 ",10.9 ," 51,293 ",9.3 ," 182,762 ",33.2 ," 550,727 ",26.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022," 106,300 ",12.0 ," 76,453 ",8.6 ," 90,039 ",10.2 ," 84,012 ",9.5 ," 95,273 ",10.8 ," 72,347 ",8.2 ," 360,969 ",40.8 ," 885,394 ",60.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023," 110,067 ",14.1 ," 63,598 ",8.2 ," 76,099 ",9.8 ," 69,452 ",8.9 ," 76,887 ",9.9 ," 57,214 ",7.3 ," 326,699 ",41.9 ," 780,015 ",- 11.9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023.1," 7,727 ",9.1 ," 6,819 ",8.0 ," 8,135 ",9.6 ," 8,211 ",9.6 ," 10,433 ",12.3 ," 6,194 ",7.3 ," 37,571 ",44.2 ," 85,090 ",20.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2," 6,854 ",9.2 ," 5,388 ",7.2 ," 8,404 ",11.2 ," 7,225 ",9.7 ," 8,116 ",10.9 ," 6,167 ",8.2 ," 32,635 ",43.6 ," 74,787 ",4.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3," 8,638 ",11.5 ," 4,731 ",6.3 ," 6,520 ",8.7 ," 5,642 ",7.5 ," 6,693 ",8.9 ," 5,570 ",7.4 ," 37,482 ",49.8 ," 75,277 ",6.2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4," 5,924 ",10.2 ," 7,899 ",13.6 ," 4,291 ",7.4 ," 4,742 ",8.2 ," 4,996 ",8.6 ," 3,886 ",6.7 ," 26,164 ",45.2 ," 57,901 ",- 12.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5," 6,010 ",11.1 ," 4,715 ",8.7 ," 5,223 ",9.6 ," 4,093 ",7.5 ," 5,458 ",10.1 ," 4,676 ",8.6 ," 24,084 ",44.4 ," 54,259 ",0.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6," 6,377 ",11.5 ," 4,290 ",7.7 ," 6,046 ",10.9 ," 5,104 ",9.2 ," 5,014 ",9.0 ," 4,372 ",7.9 ," 24,248 ",43.7 ," 55,451 ",8.8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7," 11,986 ",15.7 ," 8,099 ",10.6 ," 7,915 ",10.4 ," 6,926 ",9.1 ," 7,391 ",9.7 ," 5,880 ",7.7 ," 28,173 ",36.9 ," 76,370 ",- 9.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8," 11,291 ",15.3 ," 6,428 ",8.7 ," 8,988 ",12.2 ," 7,804 ",10.6 ," 7,208 ",9.8 ," 5,247 ",7.1 ," 26,951 ",36.5 ," 73,917 ",- 17.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9," 9,969 ",17.0 ," 3,846 ",6.6 ," 6,510 ",11.1 ," 5,723 ",9.7 ," 5,127 ",8.7 ," 4,447 ",7.6 ," 23,087 ",39.3 ," 58,709 ",- 25.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10," 9,899 ",19.1 ," 2,969 ",5.7 ," 4,935 ",9.5 ," 3,782 ",7.3 ," 6,350 ",12.2 ," 3,857 ",7.4 ," 20,077 ",38.7 ," 51,869 ",- 32.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11," 9,728 ",19.3 ," 3,607 ",7.2 ," 3,758 ",7.5 ," 4,972 ",9.9 ," 4,113 ",8.2 ," 3,072 ",6.1 ," 21,184 ",42.0 ," 50,434 ",- 35.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12," 15,664 ",23.8 ," 4,807 ",7.3 ," 5,374 ",8.1 ," 5,230 ",7.9 ," 5,988 ",9.1 ," 3,846 ",5.8 ," 25,043 ",38.0 ," 65,950 ",- 30.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3. 연료원별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Fuel Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,원자력,,석탄,,LNG,,유류,,양수,,신재생,,기타,,"RPS의무이행비용
정산금",,"배출권거래비용
정산금",,예측제도정산금,,합계,증감률(%),"[단위 : 억원, %]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
